MM/DD/YYYY HH:mm:ss:msms,ch01,ch02,ch03,ch04
08/20/2016 14:18:24:3004,2566,2570,0066,0058
08/20/2016 14:18:24:3255,2563,2562,0066,0058
08/20/2016 14:18:24:3504,2563,2567,0066,0058
08/20/2016 14:18:24:3754,2563,2571,0065,0057
08/20/2016 14:18:24:4005,2565,2570,0065,0057
08/20/2016 14:18:24:4255,2566,2568,0065,0058
08/20/2016 14:18:24:4504,2562,2569,0066,0058
08/20/2016 14:18:24:4754,2562,2567,0066,0058
08/20/2016 14:18:24:5004,2563,2565,0065,0058
08/20/2016 14:18:24:5255,2566,2570,0065,0056
08/20/2016 14:18:24:5505,2564,2566,0065,0056
08/20/2016 14:18:24:5755,2560,2567,0065,0056
08/20/2016 14:18:24:6005,2562,2569,0065,0057
08/20/2016 14:18:24:6255,2563,2568,0066,0057
08/20/2016 14:18:24:6505,2564,2562,0065,0058
08/20/2016 14:18:24:6755,2566,2570,0065,0057
08/20/2016 14:18:24:7004,2562,2570,0066,0058
08/20/2016 14:18:24:7255,2566,2568,0064,0058
08/20/2016 14:18:24:7505,2566,2568,0065,0056
08/20/2016 14:18:24:7754,2562,2566,0065,0058
08/20/2016 14:18:24:8004,2566,2568,0065,0057
08/20/2016 14:18:24:8255,2564,2565,0065,0058
08/20/2016 14:18:24:8505,2563,2568,0065,0056
08/20/2016 14:18:24:8755,2566,2564,0065,0057
08/20/2016 14:18:24:9004,2565,2571,0065,0056
08/20/2016 14:18:24:9254,2562,2571,0066,0056
08/20/2016 14:18:24:9505,2561,2569,0066,0056
08/20/2016 14:18:24:9754,2566,2565,0064,0057
08/20/2016 14:18:25:0255,2567,2570,0090,0077
08/20/2016 14:18:25:0505,2565,2569,0072,0064
08/20/2016 14:18:25:0755,2564,2574,0067,0058
08/20/2016 14:18:25:1004,2566,2573,0066,0058
08/20/2016 14:18:25:1254,2566,2568,0065,0057
08/20/2016 14:18:25:1505,2561,2566,0066,0058
08/20/2016 14:18:25:1755,2562,2565,0065,0058
08/20/2016 14:18:25:2004,2563,2568,0064,0057
08/20/2016 14:18:25:2254,2561,2567,0066,0055
08/20/2016 14:18:25:2504,2563,2567,0065,0056
08/20/2016 14:18:25:2755,2562,2564,0064,0057
08/20/2016 14:18:25:3004,2560,2574,0064,0057
08/20/2016 14:18:25:3254,2564,2566,0065,0056
08/20/2016 14:18:25:3505,2564,2567,0064,0057
08/20/2016 14:18:25:3754,2562,2563,0064,0057
08/20/2016 14:18:25:4004,2565,2566,0063,0057
08/20/2016 14:18:25:4254,2562,2567,0064,0057
08/20/2016 14:18:25:4505,2566,2566,0064,0057
08/20/2016 14:18:25:4754,2566,2568,0064,0057
08/20/2016 14:18:25:5005,2561,2572,0064,0057
08/20/2016 14:18:25:5254,2564,2568,0064,0057
08/20/2016 14:18:25:7755,2563,2566,0200,0173
08/20/2016 14:18:25:8004,2563,2568,0115,0103
08/20/2016 14:18:25:8254,2563,2564,0087,0078
08/20/2016 14:18:25:8504,2564,2570,0077,0068
08/20/2016 14:18:25:8754,2566,2566,0073,0065
08/20/2016 14:18:25:9004,2562,2562,0070,0062
08/20/2016 14:18:25:9255,2561,2570,0069,0060
08/20/2016 14:18:25:9504,2563,2570,0067,0060
08/20/2016 14:18:25:9755,2561,2566,0068,0059
08/20/2016 14:18:26:0254,2565,2569,0093,0081
08/20/2016 14:18:26:0504,2562,2566,0074,0066
08/20/2016 14:18:26:1755,2567,2570,0152,0129
08/20/2016 14:18:26:2004,2561,2572,0096,0084
08/20/2016 14:18:26:2255,2563,2564,0078,0070
08/20/2016 14:18:26:2504,2564,2572,0071,0063
08/20/2016 14:18:26:2755,2562,2569,0069,0061
08/20/2016 14:18:26:3004,2562,2562,0068,0060
08/20/2016 14:18:26:3255,2563,2568,0066,0059
08/20/2016 14:18:26:3504,2562,2566,0066,0058
08/20/2016 14:18:26:3754,2561,2566,0066,0058
08/20/2016 14:18:26:4004,2560,2566,0066,0058
08/20/2016 14:18:26:4254,2564,2566,0066,0058
08/20/2016 14:18:26:4505,2562,2567,0066,0058
08/20/2016 14:18:26:4755,2566,2573,0065,0057
08/20/2016 14:18:26:5004,2568,2568,0065,0058
08/20/2016 14:18:26:5255,2564,2568,0066,0058
08/20/2016 14:18:26:5505,2565,2570,0064,0058
08/20/2016 14:18:26:5755,2402,2486,0065,0059
08/20/2016 14:18:26:6004,2294,2416,0063,0058
08/20/2016 14:18:26:6254,2441,2475,0067,0062
08/20/2016 14:18:26:6505,2492,2386,0050,0054
08/20/2016 14:18:26:6755,2070,2182,0071,0064
08/20/2016 14:18:26:7004,2066,2319,0074,0063
08/20/2016 14:18:26:7255,2446,2468,0077,0063
08/20/2016 14:18:26:7505,2512,2494,0070,0063
08/20/2016 14:18:26:7755,2397,2226,0074,0069
08/20/2016 14:18:26:8004,2129,2353,0078,0069
08/20/2016 14:18:26:8255,2448,2475,0081,0071
08/20/2016 14:18:26:8504,2494,2498,0080,0073
08/20/2016 14:18:26:8755,2426,2259,0075,0078
08/20/2016 14:18:26:9005,2251,2417,0082,0077
08/20/2016 14:18:26:9254,2404,2459,0082,0104
08/20/2016 14:18:26:9505,2515,2496,0078,0082
08/20/2016 14:18:26:9754,2525,2437,0078,0075
08/20/2016 14:18:27:0254,2567,2573,0130,0110
08/20/2016 14:18:27:0504,2562,2568,0097,0083
08/20/2016 14:18:27:0755,2566,2572,0090,0084
08/20/2016 14:18:27:1005,2566,2566,0085,0075
08/20/2016 14:18:27:1254,2563,2564,0082,0080
08/20/2016 14:18:27:1505,2558,2563,0081,0076
08/20/2016 14:18:27:1755,2562,2569,0080,0088
08/20/2016 14:18:27:2005,2559,2567,0078,0077
08/20/2016 14:18:27:2254,2564,2567,0077,0072
08/20/2016 14:18:27:2505,2557,2568,0075,0069
08/20/2016 14:18:27:2754,2566,2569,0074,0067
08/20/2016 14:18:27:3005,2566,2566,0074,0067
08/20/2016 14:18:27:3254,2562,2566,0074,0066
08/20/2016 14:18:27:3505,2562,2570,0074,0065
08/20/2016 14:18:27:3754,2563,2565,0072,0065
08/20/2016 14:18:27:4005,2566,2570,0072,0063
08/20/2016 14:18:27:4255,2567,2566,0070,0063
08/20/2016 14:18:27:4504,2561,2573,0071,0062
08/20/2016 14:18:27:4754,2562,2572,0071,0062
08/20/2016 14:18:27:5004,2555,2557,0069,0063
08/20/2016 14:18:27:5254,2562,2570,0070,0062
08/20/2016 14:18:27:5505,2563,2566,0070,0062
08/20/2016 14:18:27:5754,2562,2565,0070,0062
08/20/2016 14:18:27:6005,2562,2563,0070,0062
08/20/2016 14:18:27:6254,2565,2569,0070,0062
08/20/2016 14:18:27:6505,2566,2574,0069,0062
08/20/2016 14:18:27:6754,2562,2566,0068,0062
08/20/2016 14:18:27:7005,2563,2567,0068,0062
08/20/2016 14:18:27:7254,2563,2568,0068,0062
08/20/2016 14:18:27:7504,2560,2570,0069,0061
08/20/2016 14:18:27:7754,2566,2568,0068,0061
08/20/2016 14:18:27:8005,2562,2572,0069,0061
08/20/2016 14:18:27:8254,2562,2567,0068,0061
08/20/2016 14:18:27:8504,2458,2491,0069,0062
08/20/2016 14:18:27:8754,2479,2475,0067,0060
08/20/2016 14:18:27:9005,2502,2489,0064,0056
08/20/2016 14:18:27:9255,2041,2093,0062,0078
08/20/2016 14:18:27:9505,2198,2380,0072,0070
08/20/2016 14:18:27:9754,2411,2441,0073,0067
08/20/2016 14:18:28:0255,2314,2409,0104,0095
08/20/2016 14:18:28:0504,2396,2454,0083,0077
08/20/2016 14:18:28:0754,2497,2497,0078,0069
08/20/2016 14:18:28:1004,2514,2380,0070,0073
08/20/2016 14:18:28:1255,2160,2341,0079,0071
08/20/2016 14:18:28:1504,2369,2450,0078,0072
08/20/2016 14:18:28:3255,2405,2298,0214,0190
08/20/2016 14:18:28:3504,2234,2416,0132,0120
08/20/2016 14:18:28:3755,2461,2471,0103,0097
08/20/2016 14:18:28:4004,2497,2498,0091,0082
08/20/2016 14:18:28:4255,2475,2292,0082,0080
08/20/2016 14:18:28:4504,2242,2370,0084,0075
08/20/2016 14:18:28:4754,2317,2429,0085,0075
08/20/2016 14:18:28:5005,2502,2497,0082,0072
08/20/2016 14:18:28:5255,2529,2395,0076,0073
08/20/2016 14:18:28:5505,2337,2305,0082,0074
08/20/2016 14:18:28:5754,2181,2414,0083,0076
08/20/2016 14:18:28:7004,2481,2482,0190,0163
08/20/2016 14:18:28:7255,2526,2403,0112,0104
08/20/2016 14:18:28:7504,2433,2313,0095,0087
08/20/2016 14:18:28:7754,2266,2412,0091,0081
08/20/2016 14:18:28:8005,2504,2494,0087,0075
08/20/2016 14:18:28:8255,2528,2470,0078,0077
08/20/2016 14:18:28:8505,2310,2338,0082,0072
08/20/2016 14:18:28:8755,2367,2463,0084,0073
08/20/2016 14:18:28:9005,2495,2495,0082,0071
08/20/2016 14:18:28:9255,2473,2326,0078,0079
08/20/2016 14:18:28:9504,2479,2318,0078,0074
08/20/2016 14:18:28:9755,2317,2441,0083,0073
08/20/2016 14:18:29:0254,2504,2356,0110,0097
08/20/2016 14:18:29:0505,2244,2410,0095,0082
08/20/2016 14:18:29:0754,2382,2448,0086,0075
08/20/2016 14:18:29:1004,2500,2497,0082,0072
08/20/2016 14:18:29:1254,2531,2447,0074,0072
08/20/2016 14:18:29:1505,2312,2444,0083,0070
08/20/2016 14:18:29:1754,2403,2464,0082,0099
08/20/2016 14:18:29:2004,2507,2506,0080,0078
08/20/2016 14:18:29:2254,2534,2430,0074,0072
08/20/2016 14:18:29:2505,2238,2416,0082,0074
08/20/2016 14:18:29:2755,2429,2475,0082,0071
08/20/2016 14:18:29:3005,2511,2504,0078,0097
08/20/2016 14:18:29:3255,2484,2330,0076,0082
08/20/2016 14:18:29:3505,2223,2412,0081,0078
08/20/2016 14:18:29:3754,2359,2458,0080,0076
08/20/2016 14:18:29:4005,2504,2508,0078,0068
08/20/2016 14:18:29:4254,2524,2477,0078,0072
08/20/2016 14:18:29:4505,2238,2378,0080,0072
08/20/2016 14:18:29:4755,2390,2471,0081,0070
08/20/2016 14:18:29:5004,2500,2499,0080,0071
08/20/2016 14:18:29:5255,2513,2406,0075,0072
08/20/2016 14:18:29:5505,2238,2410,0082,0076
08/20/2016 14:18:29:5755,2412,2447,0081,0070
08/20/2016 14:18:29:6004,2487,2495,0081,0074
08/20/2016 14:18:29:6255,2528,2428,0073,0070
08/20/2016 14:18:29:6504,2342,2357,0079,0070
08/20/2016 14:18:29:6754,2352,2444,0080,0073
08/20/2016 14:18:29:7004,2490,2496,0080,0070
08/20/2016 14:18:29:7254,2517,2510,0077,0069
08/20/2016 14:18:29:7505,2281,2378,0078,0070
08/20/2016 14:18:29:7755,2332,2441,0080,0070
08/20/2016 14:18:29:8004,2461,2492,0081,0071
08/20/2016 14:18:29:8255,2530,2442,0074,0071
08/20/2016 14:18:29:8504,2501,2382,0078,0100
08/20/2016 14:18:29:8755,2235,2403,0081,0099
08/20/2016 14:18:29:9005,2408,2462,0080,0078
08/20/2016 14:18:29:9254,2493,2494,0079,0075
08/20/2016 14:18:29:9505,2528,2390,0075,0072
08/20/2016 14:18:29:9754,2371,2340,0079,0071
08/20/2016 14:18:30:0255,2521,2495,0111,0109
08/20/2016 14:18:30:0504,2421,2330,0088,0090
08/20/2016 14:18:30:0754,2284,2442,0084,0074
08/20/2016 14:18:30:1005,2481,2494,0082,0074
08/20/2016 14:18:30:1254,2516,2513,0078,0070
08/20/2016 14:18:30:1504,2509,2365,0076,0077
08/20/2016 14:18:30:1755,2412,2460,0082,0073
08/20/2016 14:18:30:2004,2429,2472,0081,0073
08/20/2016 14:18:30:2254,2505,2504,0078,0066
08/20/2016 14:18:30:2504,2531,2421,0074,0070
08/20/2016 14:18:30:2755,2301,2450,0082,0071
08/20/2016 14:18:30:3004,2443,2479,0081,0090
08/20/2016 14:18:30:3254,2500,2497,0078,0073
08/20/2016 14:18:30:3505,2490,2351,0076,0075
08/20/2016 14:18:30:3755,2227,2387,0080,0071
08/20/2016 14:18:30:4005,2430,2476,0082,0071
08/20/2016 14:18:30:4255,2507,2504,0079,0078
08/20/2016 14:18:30:4504,2524,2475,0074,0068
08/20/2016 14:18:30:4755,2266,2398,0080,0078
08/20/2016 14:18:30:5005,2345,2451,0082,0076
08/20/2016 14:18:30:5254,2482,2491,0080,0083
08/20/2016 14:18:30:5504,2524,2498,0076,0083
08/20/2016 14:18:30:5755,2256,2387,0079,0076
08/20/2016 14:18:30:6005,2361,2456,0079,0074
08/20/2016 14:18:30:6255,2495,2496,0079,0068
08/20/2016 14:18:30:6504,2513,2506,0078,0075
08/20/2016 14:18:30:6755,2324,2366,0078,0074
08/20/2016 14:18:30:8505,2523,2496,0215,0191
08/20/2016 14:18:30:8755,2309,2367,0130,0114
08/20/2016 14:18:30:9004,2242,2412,0103,0092
08/20/2016 14:18:30:9254,2438,2479,0092,0082
08/20/2016 14:18:30:9504,2508,2499,0087,0077
08/20/2016 14:18:30:9755,2418,2330,0082,0082
08/20/2016 14:18:31:0254,2499,2496,0119,0115
08/20/2016 14:18:31:0505,2503,2361,0087,0089
08/20/2016 14:18:31:0755,2235,2400,0087,0078
08/20/2016 14:18:31:1005,2433,2473,0084,0075
08/20/2016 14:18:31:1254,2493,2490,0082,0074
08/20/2016 14:18:31:2504,2534,2450,0182,0158
08/20/2016 14:18:31:2754,2332,2334,0119,0107
08/20/2016 14:18:31:3004,2401,2462,0099,0093
08/20/2016 14:18:31:3254,2475,2492,0089,0074
08/20/2016 14:18:31:3505,2526,2427,0079,0078
08/20/2016 14:18:31:3754,2478,2340,0082,0072
08/20/2016 14:18:31:4005,2416,2462,0086,0077
08/20/2016 14:18:31:4254,2460,2484,0082,0070
08/20/2016 14:18:31:4505,2520,2491,0077,0074
08/20/2016 14:18:31:4754,2514,2384,0079,0070
08/20/2016 14:18:31:5005,2286,2426,0082,0077
08/20/2016 14:18:31:5254,2429,2466,0082,0070
08/20/2016 14:18:31:5504,2520,2507,0079,0073
08/20/2016 14:18:31:5755,2532,2334,0075,0074
08/20/2016 14:18:31:6005,2309,2363,0082,0070
08/20/2016 14:18:31:6255,2277,2418,0082,0074
08/20/2016 14:18:31:6505,2463,2479,0082,0070
08/20/2016 14:18:31:6755,2512,2501,0079,0074
08/20/2016 14:18:31:7005,2487,2313,0077,0071
08/20/2016 14:18:31:7254,2313,2352,0081,0077
08/20/2016 14:18:31:7505,2427,2473,0082,0093
08/20/2016 14:18:31:7755,2508,2502,0079,0079
08/20/2016 14:18:31:8005,2492,2337,0074,0073
08/20/2016 14:18:31:8254,2394,2306,0078,0072
08/20/2016 14:18:31:8505,2412,2463,0082,0073
08/20/2016 14:18:31:8754,2468,2479,0082,0075
08/20/2016 14:18:31:9005,2533,2432,0076,0074
08/20/2016 14:18:31:9254,2437,2292,0079,0076
08/20/2016 14:18:31:9505,2337,2445,0082,0076
08/20/2016 14:18:31:9755,2482,2488,0082,0070
08/20/2016 14:18:32:0255,2369,2459,0114,0100
08/20/2016 14:18:32:0504,2437,2466,0091,0083
08/20/2016 14:18:32:0755,2525,2512,0079,0076
08/20/2016 14:18:32:1005,2429,2299,0081,0107
08/20/2016 14:18:32:1254,2229,2371,0079,0083
08/20/2016 14:18:32:1504,2394,2460,0081,0074
08/20/2016 14:18:32:1754,2504,2498,0080,0073
08/20/2016 14:18:32:2004,2533,2421,0074,0074
08/20/2016 14:18:32:2255,2244,2404,0082,0075
08/20/2016 14:18:32:2504,2362,2443,0080,0070
08/20/2016 14:18:32:2754,2500,2487,0080,0071
08/20/2016 14:18:32:3004,2532,2457,0075,0072
08/20/2016 14:18:32:3255,2232,2422,0082,0070
08/20/2016 14:18:32:3504,2408,2466,0081,0070
08/20/2016 14:18:32:3754,2499,2493,0080,0070
08/20/2016 14:18:32:4005,2511,2386,0075,0073
08/20/2016 14:18:32:4255,2294,2431,0081,0071
08/20/2016 14:18:32:4504,2381,2445,0079,0091
08/20/2016 14:18:32:4754,2497,2488,0080,0070
08/20/2016 14:18:32:5004,2529,2428,0074,0074
08/20/2016 14:18:32:5254,2336,2364,0079,0074
08/20/2016 14:18:32:5504,2320,2432,0080,0073
08/20/2016 14:18:32:5755,2505,2498,0079,0070
08/20/2016 14:18:32:6004,2515,2496,0078,0074
08/20/2016 14:18:32:6255,2495,2527,0083,0078
08/20/2016 14:18:32:6505,2564,2568,0085,0076
08/20/2016 14:18:32:6755,2564,2573,0079,0073
08/20/2016 14:18:32:7004,2563,2570,0078,0069
08/20/2016 14:18:32:7255,2563,2568,0077,0081
08/20/2016 14:18:32:7504,2566,2566,0075,0072
08/20/2016 14:18:32:7754,2565,2568,0074,0074
08/20/2016 14:18:32:8004,2563,2566,0072,0070
08/20/2016 14:18:32:8255,2566,2566,0070,0068
08/20/2016 14:18:32:8504,2563,2564,0070,0062
08/20/2016 14:18:32:8754,2563,2567,0070,0066
08/20/2016 14:18:32:9004,2561,2567,0069,0062
08/20/2016 14:18:32:9255,2559,2570,0068,0062
08/20/2016 14:18:32:9504,2561,2572,0067,0063
08/20/2016 14:18:32:9754,2564,2570,0067,0060
08/20/2016 14:18:33:0255,2562,2569,0093,0082
08/20/2016 14:18:33:0504,2560,2569,0075,0067
08/20/2016 14:18:33:0754,2562,2568,0069,0062
08/20/2016 14:18:33:1004,2565,2569,0066,0060
08/20/2016 14:18:33:1255,2553,2559,0066,0059
08/20/2016 14:18:33:1505,2561,2569,0066,0059
08/20/2016 14:18:33:1754,2565,2562,0066,0059
08/20/2016 14:18:33:2004,2563,2570,0065,0058
08/20/2016 14:18:33:2254,2565,2568,0064,0058
08/20/2016 14:18:33:4755,2566,2573,0200,0176
08/20/2016 14:18:33:5005,2561,2574,0116,0105
08/20/2016 14:18:33:5254,2566,2568,0088,0080
08/20/2016 14:18:33:5505,2559,2567,0078,0070
08/20/2016 14:18:33:5755,2566,2570,0072,0065
08/20/2016 14:18:33:6004,2563,2566,0070,0062
08/20/2016 14:18:33:6254,2562,2569,0069,0062
08/20/2016 14:18:33:6505,2562,2569,0067,0060
08/20/2016 14:18:33:6755,2557,2570,0066,0059
08/20/2016 14:18:33:7004,2563,2572,0066,0059
08/20/2016 14:18:33:7254,2562,2573,0066,0058
08/20/2016 14:18:33:8505,2563,2570,0147,0128
08/20/2016 14:18:33:8754,2466,2503,0095,0087
08/20/2016 14:18:33:9005,2443,2483,0078,0070
08/20/2016 14:18:33:9254,2445,2476,0070,0061
08/20/2016 14:18:33:9505,2498,2225,0053,0059
08/20/2016 14:18:33:9755,1981,2153,0071,0064
08/20/2016 14:18:34:0254,2485,2454,0099,0085
08/20/2016 14:18:34:0505,2145,2102,0081,0078
08/20/2016 14:18:34:0755,2089,2283,0080,0073
08/20/2016 14:18:34:1005,2420,2431,0078,0068
08/20/2016 14:18:34:1254,2470,2466,0076,0070
08/20/2016 14:18:34:1755,2146,2321,0111,0098
08/20/2016 14:18:34:2004,2292,2374,0091,0079
08/20/2016 14:18:34:2255,2469,2450,0075,0077
08/20/2016 14:18:34:2504,2495,2313,0073,0076
08/20/2016 14:18:34:2755,1970,2212,0084,0073
08/20/2016 14:18:34:3004,2263,2375,0086,0078
08/20/2016 14:18:34:3254,2465,2446,0081,0075
08/20/2016 14:18:34:3504,2499,2294,0070,0074
08/20/2016 14:18:34:3755,1981,2155,0083,0075
08/20/2016 14:18:34:4004,2068,2316,0084,0077
08/20/2016 14:18:34:4254,2423,2426,0083,0070
08/20/2016 14:18:34:4504,2500,2343,0071,0072
08/20/2016 14:18:34:4755,2060,2176,0084,0077
08/20/2016 14:18:34:5005,2274,2390,0087,0078
08/20/2016 14:18:34:5254,2347,2413,0084,0072
08/20/2016 14:18:34:5504,2475,2433,0075,0074
08/20/2016 14:18:34:5755,2016,2196,0084,0081
08/20/2016 14:18:34:6005,2098,2274,0085,0078
08/20/2016 14:18:34:6255,2400,2411,0085,0076
08/20/2016 14:18:34:6504,2478,2444,0077,0068
08/20/2016 14:18:34:6755,2220,2096,0082,0079
08/20/2016 14:18:34:7004,2014,2299,0088,0081
08/20/2016 14:18:34:7255,2350,2404,0087,0078
08/20/2016 14:18:34:7504,2442,2446,0084,0072
08/20/2016 14:18:34:7755,2314,2089,0079,0078
08/20/2016 14:18:34:8005,1972,2274,0087,0077
08/20/2016 14:18:34:8254,2205,2334,0086,0077
08/20/2016 14:18:34:8505,2470,2447,0079,0067
08/20/2016 14:18:34:8755,2403,2118,0079,0082
08/20/2016 14:18:34:9005,1969,2195,0087,0078
08/20/2016 14:18:34:9255,2252,2364,0090,0081
08/20/2016 14:18:34:9504,2400,2416,0088,0079
08/20/2016 14:18:34:9755,2393,2055,0076,0075
08/20/2016 14:18:35:0254,2412,2414,0126,0106
08/20/2016 14:18:35:0505,2494,2324,0087,0088
08/20/2016 14:18:35:0755,2014,2168,0092,0083
08/20/2016 14:18:35:1005,2134,2324,0091,0081
08/20/2016 14:18:35:1255,2415,2410,0088,0078
08/20/2016 14:18:35:1505,2501,2280,0074,0078
08/20/2016 14:18:35:1755,2201,2020,0086,0077
08/20/2016 14:18:35:2004,1923,2230,0087,0077
08/20/2016 14:18:35:2255,2388,2398,0090,0078
08/20/2016 14:18:35:2504,2455,2448,0084,0074
08/20/2016 14:18:35:2755,2432,2155,0079,0079
08/20/2016 14:18:35:3004,2211,2070,0085,0078
08/20/2016 14:18:35:3255,2313,2382,0092,0081
08/20/2016 14:18:35:3504,2415,2423,0087,0074
08/20/2016 14:18:35:3754,2490,2334,0074,0077
08/20/2016 14:18:35:4005,2034,2110,0088,0081
08/20/2016 14:18:35:4254,2014,2300,0090,0079
08/20/2016 14:18:35:4504,2414,2419,0089,0076
08/20/2016 14:18:35:4755,2496,2286,0076,0078
08/20/2016 14:18:35:5005,1955,2204,0089,0080
08/20/2016 14:18:35:5254,2081,2282,0089,0074
08/20/2016 14:18:35:5505,2434,2410,0087,0077
08/20/2016 14:18:35:5754,2480,2393,0078,0077
08/20/2016 14:18:35:6004,2316,2030,0083,0082
08/20/2016 14:18:35:6254,2105,2338,0092,0077
08/20/2016 14:18:35:6504,2387,2421,0090,0080
08/20/2016 14:18:35:6755,2494,2272,0075,0072
08/20/2016 14:18:35:7005,2231,2054,0086,0077
08/20/2016 14:18:35:7254,1952,2194,0087,0078
08/20/2016 14:18:35:7504,2192,2348,0090,0080
08/20/2016 14:18:35:7754,2466,2444,0082,0070
08/20/2016 14:18:35:8005,2234,2110,0086,0078
08/20/2016 14:18:35:8254,2085,2191,0087,0078
08/20/2016 14:18:35:8504,2260,2354,0088,0111
08/20/2016 14:18:36:0254,2114,2307,0239,0209
08/20/2016 14:18:36:0505,2395,2399,0144,0129
08/20/2016 14:18:36:0754,2434,2423,0112,0099
08/20/2016 14:18:36:1005,2420,2210,0093,0093
08/20/2016 14:18:36:1255,2051,2212,0095,0087
08/20/2016 14:18:36:1504,2222,2305,0093,0082
08/20/2016 14:18:36:1754,2452,2421,0089,0076
08/20/2016 14:18:36:2005,2437,2184,0083,0079
08/20/2016 14:18:36:2255,1940,2235,0090,0098
08/20/2016 14:18:36:2504,2152,2331,0090,0087
08/20/2016 14:18:36:2754,2398,2391,0089,0078
08/20/2016 14:18:36:4004,2475,2445,0200,0186
08/20/2016 14:18:36:4254,2318,2136,0124,0124
08/20/2016 14:18:36:4504,2032,2275,0108,0099
08/20/2016 14:18:36:4754,2319,2375,0098,0112
08/20/2016 14:18:36:5005,2490,2376,0083,0089
08/20/2016 14:18:36:5254,2375,2097,0085,0086
08/20/2016 14:18:36:5505,2060,2313,0093,0099
08/20/2016 14:18:36:5754,2309,2381,0091,0094
08/20/2016 14:18:36:6004,2475,2454,0086,0087
08/20/2016 14:18:36:6255,2224,2109,0083,0092
08/20/2016 14:18:36:6504,1969,2232,0090,0087
08/20/2016 14:18:36:6755,2348,2377,0091,0081
08/20/2016 14:18:36:7004,2460,2446,0084,0077
08/20/2016 14:18:36:7255,2345,2103,0082,0079
08/20/2016 14:18:36:7504,2006,2201,0089,0079
08/20/2016 14:18:36:7754,2242,2327,0090,0078
08/20/2016 14:18:36:8005,2465,2440,0085,0079
08/20/2016 14:18:36:8255,2432,2101,0082,0079
08/20/2016 14:18:36:8504,2039,2135,0088,0079
08/20/2016 14:18:36:8754,2135,2325,0090,0078
08/20/2016 14:18:36:9004,2366,2395,0089,0074
08/20/2016 14:18:36:9255,2503,2292,0078,0077
08/20/2016 14:18:36:9505,2116,2194,0089,0078
08/20/2016 14:18:36:9755,2150,2322,0091,0093
08/20/2016 14:18:37:0255,1998,2164,0120,0111
08/20/2016 14:18:37:0504,2061,2168,0097,0090
08/20/2016 14:18:37:0755,2370,2397,0095,0089
08/20/2016 14:18:37:1005,2486,2414,0082,0079
08/20/2016 14:18:37:1255,2257,2163,0088,0082
08/20/2016 14:18:37:1505,2037,2284,0090,0080
08/20/2016 14:18:37:1754,2292,2376,0089,0077
08/20/2016 14:18:37:2004,2455,2438,0085,0073
08/20/2016 14:18:37:2255,2113,2172,0085,0079
08/20/2016 14:18:37:2505,2080,2282,0088,0078
08/20/2016 14:18:37:2754,2313,2367,0090,0078
08/20/2016 14:18:37:3004,2458,2451,0087,0073
08/20/2016 14:18:37:3255,2203,2150,0082,0078
08/20/2016 14:18:37:3504,2039,2202,0087,0074
08/20/2016 14:18:37:3754,2238,2365,0091,0077
08/20/2016 14:18:37:4004,2465,2432,0086,0074
08/20/2016 14:18:37:4254,2502,2238,0077,0078
