MM/DD/YYYY HH:mm:ss:msms,ch01,ch02,ch03,ch04
08/20/2016 14:18:23:1755,2565,2570,0318,0269
08/20/2016 14:18:23:2005,2565,2568,0167,0149
08/20/2016 14:18:23:2255,2566,2573,0117,0105
08/20/2016 14:18:23:2504,2562,2566,0099,0087
08/20/2016 14:18:23:2754,2564,2570,0089,0077
08/20/2016 14:18:23:3005,2562,2564,0083,0071
08/20/2016 14:18:23:3254,2561,2569,0080,0070
08/20/2016 14:18:23:3504,2568,2561,0078,0067
08/20/2016 14:18:23:3755,2564,2567,0075,0065
08/20/2016 14:18:23:4005,2562,2569,0074,0063
08/20/2016 14:18:23:4254,2565,2567,0073,0063
08/20/2016 14:18:23:5504,2566,2566,0162,0136
08/20/2016 14:18:23:5755,2562,2569,0103,0089
08/20/2016 14:18:23:6005,2562,2564,0084,0074
08/20/2016 14:18:23:6254,2564,2568,0077,0067
08/20/2016 14:18:23:6505,2563,2572,0074,0064
08/20/2016 14:18:23:6755,2564,2566,0072,0062
08/20/2016 14:18:23:7004,2557,2562,0070,0060
08/20/2016 14:18:23:7255,2566,2571,0070,0061
08/20/2016 14:18:23:7505,2564,2569,0070,0060
08/20/2016 14:18:23:7754,2562,2565,0070,0060
08/20/2016 14:18:23:8005,2564,2566,0069,0058
08/20/2016 14:18:23:8254,2568,2573,0068,0058
08/20/2016 14:18:23:8504,2562,2569,0067,0058
08/20/2016 14:18:23:8754,2562,2566,0067,0058
08/20/2016 14:18:23:9005,2562,2566,0066,0058
08/20/2016 14:18:23:9255,2566,2568,0066,0058
08/20/2016 14:18:23:9504,2565,2570,0066,0058
08/20/2016 14:18:23:9755,2566,2570,0066,0058
08/20/2016 14:18:24:0255,2564,2564,0094,0080
08/20/2016 14:18:24:0505,2562,2566,0076,0066
08/20/2016 14:18:24:0754,2564,2570,0070,0061
08/20/2016 14:18:24:1004,2560,2566,0069,0059
08/20/2016 14:18:24:1254,2566,2571,0067,0058
08/20/2016 14:18:24:1504,2564,2566,0066,0058
08/20/2016 14:18:24:1754,2565,2568,0066,0058
08/20/2016 14:18:24:2005,2562,2566,0066,0058
08/20/2016 14:18:24:2255,2562,2568,0066,0058
08/20/2016 14:18:24:2504,2562,2566,0066,0058
08/20/2016 14:18:24:2754,2563,2569,0066,0057
