MM/DD/YYYY HH:mm:ss:msms,ch01,ch02,ch03,ch04
08/20/2016 14:21:39:1755,2561,2560,0350,0297
08/20/2016 14:21:39:2004,2559,2562,0191,0169
08/20/2016 14:21:39:2255,2562,2565,0139,0123
08/20/2016 14:21:39:2505,2556,2564,0118,0105
08/20/2016 14:21:39:2755,2558,2566,0107,0095
08/20/2016 14:21:39:3005,2559,2562,0101,0089
08/20/2016 14:21:39:3254,2564,2562,0097,0086
08/20/2016 14:21:39:3505,2563,2563,0095,0082
08/20/2016 14:21:39:3755,2559,2559,0093,0082
08/20/2016 14:21:39:4004,2560,2565,0091,0080
08/20/2016 14:21:39:4255,2546,2556,0090,0079
08/20/2016 14:21:39:5504,2560,2562,0196,0169
08/20/2016 14:21:39:5755,2561,2565,0126,0111
08/20/2016 14:21:39:6004,2561,2566,0103,0092
08/20/2016 14:21:39:6255,2561,2568,0094,0085
08/20/2016 14:21:39:6504,2561,2566,0090,0081
08/20/2016 14:21:39:6755,2557,2560,0088,0080
08/20/2016 14:21:39:7004,2559,2564,0087,0078
08/20/2016 14:21:39:7255,2559,2561,0087,0078
08/20/2016 14:21:39:7505,2557,2566,0085,0077
08/20/2016 14:21:39:7755,2561,2563,0085,0076
08/20/2016 14:21:39:8005,2560,2562,0085,0077
08/20/2016 14:21:39:8255,2557,2561,0084,0075
08/20/2016 14:21:39:8504,2559,2561,0083,0076
08/20/2016 14:21:39:8755,2562,2561,0084,0075
08/20/2016 14:21:39:9005,2557,2561,0083,0075
08/20/2016 14:21:39:9254,2560,2559,0082,0075
08/20/2016 14:21:39:9505,2560,2562,0083,0075
08/20/2016 14:21:39:9754,2564,2564,0082,0074
08/20/2016 14:21:40:0255,2561,2563,0116,0103
08/20/2016 14:21:40:0504,2562,2562,0093,0085
08/20/2016 14:21:40:0754,2554,2563,0087,0078
08/20/2016 14:21:40:1004,2562,2562,0084,0077
08/20/2016 14:21:40:1254,2560,2562,0083,0076
08/20/2016 14:21:40:1504,2558,2566,0082,0074
08/20/2016 14:21:40:1755,2560,2558,0082,0075
08/20/2016 14:21:40:2005,2558,2561,0082,0074
08/20/2016 14:21:40:2254,2562,2554,0082,0076
08/20/2016 14:21:40:2504,2558,2563,0082,0074
08/20/2016 14:21:40:2754,2561,2565,0081,0074
08/20/2016 14:21:40:3005,2562,2563,0082,0074
08/20/2016 14:21:40:3255,2559,2562,0081,0074
08/20/2016 14:21:40:3504,2556,2560,0082,0074
